datetime	do
2020-01-22 11:00	6.41000
2020-01-22 11:30	6.53800
2020-01-22 12:00	6.71200
2020-01-22 12:30	6.99100
2020-01-22 13:00	7.29900
2020-01-22 13:30	7.57300
2020-01-22 14:00	7.47400
2020-01-22 14:30	7.98200
2020-01-22 15:00	8.47200
2020-01-22 15:30	8.54700
2020-01-22 16:00	8.57700
2020-01-22 16:30	8.77800
2020-01-22 17:00	8.80000
2020-01-22 17:30	8.52100
2020-01-22 18:00	8.20200
2020-01-22 18:30	7.71100
2020-01-22 19:00	7.39900
2020-01-22 19:30	7.13600
2020-01-22 20:00	7.15500
2020-01-22 20:30	7.14200
2020-01-22 21:00	7.14900
2020-01-22 21:30	7.26700
2020-01-22 22:00	7.25300
2020-01-22 22:30	7.16900
2020-01-22 23:00	6.99800
2020-01-22 23:30	6.77300
2020-01-23 00:00	6.72300
2020-01-23 00:30	6.72900
2020-01-23 01:00	6.72100
2020-01-23 01:30	6.65700
2020-01-23 02:00	6.63200
2020-01-23 02:30	6.64800
2020-01-23 03:00	6.67700
2020-01-23 03:30	6.65300
2020-01-23 04:00	6.56900
2020-01-23 04:30	6.54200
2020-01-23 05:00	6.56700
2020-01-23 05:30	6.54300
2020-01-23 06:00	6.45900
2020-01-23 06:30	6.24300
2020-01-23 07:00	6.12100
2020-01-23 07:30	6.10100
2020-01-23 08:00	6.11800
2020-01-23 08:30	6.20100
2020-01-23 09:00	6.17400
2020-01-23 09:30	6.45800
2020-01-23 10:00	6.83200
2020-01-23 10:30	6.80700
2020-01-23 11:00	6.80000
2020-01-23 11:30	6.89000
2020-01-23 12:00	6.90900
2020-01-23 12:30	7.01800
2020-01-23 13:00	7.07500
2020-01-23 13:30	7.13400
2020-01-23 14:00	7.17600
2020-01-23 14:30	7.28800
2020-01-23 15:00	7.31800
2020-01-23 15:30	7.37400
2020-01-23 16:00	7.60500
2020-01-23 16:30	7.60300
2020-01-23 17:00	7.33900
2020-01-23 17:30	7.40000
2020-01-23 18:00	7.72500
2020-01-23 18:30	7.46300
2020-01-23 19:00	7.19600
2020-01-23 19:30	7.01700
2020-01-23 20:00	6.90100
2020-01-23 20:30	6.83600
2020-01-23 21:00	6.81200
2020-01-23 21:30	6.71100
2020-01-23 22:00	6.79900
2020-01-23 22:30	6.78300
2020-01-23 23:00	6.70800
2020-01-23 23:30	6.63700
2020-01-24 00:00	6.45000
2020-01-24 00:30	6.34900
2020-01-24 01:00	6.31300
2020-01-24 01:30	6.26500
2020-01-24 02:00	6.20600
2020-01-24 02:30	6.14600
2020-01-24 03:00	6.09500
2020-01-24 03:30	6.11700
2020-01-24 04:00	6.14700
2020-01-24 04:30	6.15000
2020-01-24 05:00	6.13200
2020-01-24 05:30	6.16600
2020-01-24 06:00	6.23300
2020-01-24 06:30	6.24000
2020-01-24 07:00	6.20400
2020-01-24 07:30	6.10100
2020-01-24 08:00	6.02700
2020-01-24 08:30	6.20000
2020-01-24 09:00	6.31900
2020-01-24 09:30	6.24000
2020-01-24 10:00	6.57200
2020-01-24 10:30	6.97000
2020-01-24 11:00	7.21700
2020-01-24 11:30	7.18600
2020-01-24 12:00	7.36000
2020-01-24 12:30	7.46100
2020-01-24 13:00	7.63200
2020-01-24 13:30	7.80300
2020-01-24 14:00	8.03600
2020-01-24 14:30	8.14100
2020-01-24 15:00	8.12300
2020-01-24 15:30	8.09300
2020-01-24 16:00	8.17100
2020-01-24 16:30	8.24300
2020-01-24 17:00	8.31300
2020-01-24 17:30	8.25700
2020-01-24 18:00	8.18700
2020-01-24 18:30	8.23400
2020-01-24 19:00	8.19500
2020-01-24 19:30	7.88400
2020-01-24 20:00	7.51700
2020-01-24 20:30	7.43500
2020-01-24 21:00	7.20500
2020-01-24 21:30	7.00900
2020-01-24 22:00	6.96300
2020-01-24 22:30	7.11300
2020-01-24 23:00	7.19300
2020-01-24 23:30	7.11000
2020-01-25 00:00	7.08200
2020-01-25 00:30	6.96300
2020-01-25 01:00	6.88700
2020-01-25 01:30	6.84400
2020-01-25 02:00	6.83100
2020-01-25 02:30	6.77600
2020-01-25 03:00	6.74300
2020-01-25 03:30	6.65000
2020-01-25 04:00	6.69400
2020-01-25 04:30	6.75400
2020-01-25 05:00	6.70600
2020-01-25 05:30	6.60100
2020-01-25 06:00	6.61700
2020-01-25 06:30	6.64700
2020-01-25 07:00	6.69500
2020-01-25 07:30	6.60100
2020-01-25 08:00	6.41000
2020-01-25 08:30	6.34500
2020-01-25 09:00	6.44800
2020-01-25 09:30	6.46000
2020-01-25 10:00	6.58600
2020-01-25 10:30	6.86100
2020-01-25 11:00	7.35800
2020-01-25 11:30	7.59900
2020-01-25 12:00	7.67400
2020-01-25 12:30	7.81500
2020-01-25 13:00	8.03700
2020-01-25 13:30	8.18600
2020-01-25 14:00	8.26300
2020-01-25 14:30	8.36000
2020-01-25 15:00	8.49600
2020-01-25 15:30	8.60900
2020-01-25 16:00	8.69200
2020-01-25 16:30	8.84400
2020-01-25 17:00	9.00400
2020-01-25 17:30	8.96600
2020-01-25 18:00	8.84300
2020-01-25 18:30	8.78500
2020-01-25 19:00	8.81600
2020-01-25 19:30	8.62200
2020-01-25 20:00	8.42900
2020-01-25 20:30	8.07700
2020-01-25 21:00	7.84200
2020-01-25 21:30	7.76600
2020-01-25 22:00	7.61600
2020-01-25 22:30	7.51000
2020-01-25 23:00	7.58100
2020-01-25 23:30	7.64400
2020-01-26 00:00	7.52400
2020-01-26 00:30	7.56400
2020-01-26 01:00	7.42600
2020-01-26 01:30	7.32000
2020-01-26 02:00	7.22900
2020-01-26 02:30	7.27400
2020-01-26 03:00	7.26200
2020-01-26 03:30	7.21500
2020-01-26 04:00	7.12000
2020-01-26 04:30	7.15500
2020-01-26 05:00	7.16900
2020-01-26 05:30	7.14300
2020-01-26 06:00	7.08600
2020-01-26 06:30	7.12500
2020-01-26 07:00	7.13900
2020-01-26 07:30	7.22100
2020-01-26 08:00	7.09500
2020-01-26 08:30	6.91800
2020-01-26 09:00	6.80100
2020-01-26 09:30	6.88900
2020-01-26 10:00	7.07100
2020-01-26 10:30	7.08100
2020-01-26 11:00	7.30500
2020-01-26 11:30	7.73500
2020-01-26 12:00	8.08600
2020-01-26 12:30	8.13800
2020-01-26 13:00	8.21200
2020-01-26 13:30	8.36400
2020-01-26 14:00	8.54200
2020-01-26 14:30	8.60500
2020-01-26 15:00	8.73600
2020-01-26 15:30	8.83100
2020-01-26 16:00	8.95700
2020-01-26 16:30	9.02400
2020-01-26 17:00	8.89500
2020-01-26 17:30	8.99700
2020-01-26 18:00	8.99200
2020-01-26 18:30	8.96300
2020-01-26 19:00	8.78000
2020-01-26 19:30	8.70600
2020-01-26 20:00	8.51100
2020-01-26 20:30	8.33700
2020-01-26 21:00	8.04100
2020-01-26 21:30	7.80300
2020-01-26 22:00	7.74400
2020-01-26 22:30	7.60500
2020-01-26 23:00	7.50900
2020-01-26 23:30	7.58100
2020-01-27 00:00	7.63500
2020-01-27 00:30	7.61300
2020-01-27 01:00	7.53800
2020-01-27 01:30	7.45800
2020-01-27 02:00	7.36900
2020-01-27 02:30	7.36000
2020-01-27 03:00	7.29700
2020-01-27 03:30	7.25400
2020-01-27 04:00	7.19600
2020-01-27 04:30	7.13600
2020-01-27 05:00	7.16600
2020-01-27 05:30	7.15200
2020-01-27 06:00	7.14100
2020-01-27 06:30	7.12200
2020-01-27 07:00	7.19200
2020-01-27 07:30	7.18200
2020-01-27 08:00	7.19800
